Provider,Zone,Sub-region,Flavor,Slug,CPU,RAM(in GB),Hourly,Monthly,1-Year no up.,1-Year par. up.,1-Year par. fee,1-Year all up.,2-Year no up.,2-Year par. up.,2-Year par. fee,2-Year all up.,3-Year no up.,3-Year par. up.,3-Year par. fee,3-Year all up.,currency,rate
Amazon Web Services,EU (Frankfurt),eu-central,c6gd.xlarge,c6gd.xlarge,4,8.0,0.178,,0.111,0.053,464.0,910.0,,,,,0.078,0.036,946.0,1779.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,c6gd.2xlarge,c6gd.2xlarge,8,16.0,0.356,,0.223,0.106,929.0,1820.0,,,,,0.156,0.072,1892.0,3557.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,c6gn.medium,c6gn.medium,1,2.0,0.049,,0.031,0.015,129.0,254.0,,,,,0.025,0.012,306.0,575.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,c6gn.large,c6gn.large,2,4.0,0.099,,0.062,0.03,259.0,507.0,,,,,0.05,0.023,612.0,1150.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,c6gn.xlarge,c6gn.xlarge,4,8.0,0.197,,0.124,0.059,517.0,1014.0,,,,,0.101,0.047,1223.0,2300.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,c6gn.2xlarge,c6gn.2xlarge,8,16.0,0.394,,0.248,0.118,1035.0,2028.0,,,,,0.201,0.093,2447.0,4599.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,c6i.large,c6i.large,2,4.0,0.097,,0.064,0.03,267.0,523.0,,,,,0.044,0.02,535.0,1006.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,c6i.xlarge,c6i.xlarge,4,8.0,0.194,,0.128,0.061,533.0,1046.0,,,,,0.088,0.041,1071.0,2013.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,c6i.2xlarge,c6i.2xlarge,8,16.0,0.388,,0.256,0.122,1067.0,2091.0,,,,,0.176,0.081,2141.0,4026.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,d3.xlarge,d3.xlarge,4,32.0,0.658,,0.415,0.197,1729.0,3390.0,,,,,0.284,0.132,3459.0,6502.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,d3.2xlarge,d3.2xlarge,8,64.0,1.316,,0.829,0.395,3459.0,6779.0,,,,,0.569,0.263,6918.0,13005.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,f1.2xlarge,f1.2xlarge,8,122.0,1.734,,1.165,0.555,4861.0,9527.0,,,,,0.871,0.403,10599.0,19926.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,r5a.large,r5a.large,2,16.0,0.137,,0.086,0.041,359.0,704.0,,,,,0.059,0.027,720.0,1354.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,r5a.xlarge,r5a.xlarge,4,32.0,0.274,,0.172,0.082,719.0,1409.0,,,,,0.118,0.055,1440.0,2707.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,r5a.2xlarge,r5a.2xlarge,8,64.0,0.548,,0.345,0.164,1438.0,2818.0,,,,,0.237,0.11,2880.0,5415.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,r5n.large,r5n.large,2,16.0,0.178,,0.112,0.053,468.0,917.0,,,,,0.073,0.034,893.0,1680.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,r5n.xlarge,r5n.xlarge,4,32.0,0.356,,0.224,0.107,936.0,1834.0,,,,,0.147,0.068,1787.0,3359.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,r5n.2xlarge,r5n.2xlarge,8,64.0,0.712,,0.449,0.214,1871.0,3667.0,,,,,0.294,0.136,3574.0,6719.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,m5zn.large,m5zn.large,2,8.0,0.198,,0.124,0.059,518.0,1015.0,,,,,0.086,0.04,1046.0,1966.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,m5zn.xlarge,m5zn.xlarge,4,16.0,0.396,,0.248,0.118,1036.0,2030.0,,,,,0.172,0.08,2091.0,3931.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,m5zn.2xlarge,m5zn.2xlarge,8,32.0,0.791,,0.496,0.236,2071.0,4059.0,,,,,0.344,0.159,4182.0,7862.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,m6a.large,m6a.large,2,8.0,0.104,,0.068,0.033,286.0,560.0,,,,,0.047,0.022,571.0,1074.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,m6a.xlarge,m6a.xlarge,4,16.0,0.207,,0.137,0.065,571.0,1120.0,,,,,0.094,0.043,1142.0,2148.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,m6a.2xlarge,m6a.2xlarge,8,32.0,0.414,,0.274,0.13,1142.0,2239.0,,,,,0.188,0.087,2285.0,4295.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,m6g.medium,m6g.medium,1,4.0,0.046,,0.029,0.014,120.0,236.0,,,,,0.02,0.009,243.0,457.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,m6g.large,m6g.large,2,8.0,0.092,,0.058,0.028,241.0,472.0,,,,,0.04,0.018,486.0,914.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,m6g.xlarge,m6g.xlarge,4,16.0,0.184,,0.116,0.055,482.0,944.0,,,,,0.08,0.037,972.0,1828.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,m6g.2xlarge,m6g.2xlarge,8,32.0,0.368,,0.231,0.11,964.0,1889.0,,,,,0.16,0.074,1944.0,3655.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,m6gd.medium,m6gd.medium,1,4.0,0.054,,0.034,0.016,142.0,279.0,,,,,0.024,0.011,289.0,544.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,m6gd.large,m6gd.large,2,8.0,0.109,,0.068,0.032,285.0,558.0,,,,,0.048,0.022,578.0,1087.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,m6gd.xlarge,m6gd.xlarge,4,16.0,0.218,,0.136,0.065,569.0,1116.0,,,,,0.095,0.044,1156.0,2174.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,m6gd.2xlarge,m6gd.2xlarge,8,32.0,0.436,,0.273,0.13,1139.0,2232.0,,,,,0.19,0.088,2313.0,4348.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,m6i.large,m6i.large,2,8.0,0.115,,0.076,0.036,317.0,622.0,,,,,0.052,0.024,635.0,1193.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,m6i.xlarge,m6i.xlarge,4,16.0,0.23,,0.152,0.072,635.0,1244.0,,,,,0.104,0.048,1269.0,2386.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,m6i.2xlarge,m6i.2xlarge,8,32.0,0.46,,0.304,0.145,1269.0,2488.0,,,,,0.209,0.097,2539.0,4773.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,z1d.large,z1d.large,2,16.0,0.225,,0.142,0.068,591.0,1159.0,,,,,0.095,0.044,1156.0,2174.0,USD,1.0
